owner_repo,nom,statut,niveau,motif,categorie,importance,licence_connue,url_resolue,section
,SOC Knowledge Base,N/A,non applicable,licence inconnue; repo non exploitable (hors-perimetre),SOC Reference Architecture,🟡 Moyenne (méta-ressource),non,non,🟡 Vulnerability Management
guardicore/monkey,Infection Monkey (Guardicore),TRIAGE-MINIMAL,triage minimal,7076 étoiles; dernier commit 2025-02-28; licence GPL-3.0,Breach & Attack Simulation,🟡 Moyenne,oui,oui,🔴 Red Team / Adversary Emulation (Compléments)
BishopFox/sliver,Sliver,TRIAGE-MINIMAL,triage minimal,11731 étoiles; dernier commit 2026-08-26; licence GPL-3.0,C2 Framework,🟡 Moyenne,oui,oui,🔴 Red Team / Adversary Emulation (Compléments)
HavocFramework/Havoc,Havoc,TRIAGE-MINIMAL,triage minimal,8506 étoiles; dernier commit 2025-12-18; archivé; licence GPL-3.0,C2 Framework,⚪ Faible,oui,oui,🔴 Red Team / Adversary Emulation (Compléments)
its-a-feature/Mythic,Mythic,TRIAGE-MINIMAL,triage minimal,4727 étoiles; dernier commit 2026-07-16; licence inconnue,C2 Framework,⚪ Faible,non,oui,🔴 Red Team / Adversary Emulation (Compléments)
CyberCX-STA/PurpleOps,Purple Knight / PurpleOps,TRIAGE-MINIMAL,triage minimal,313 étoiles; dernier commit 2026-07-06; licence inconnue,Purple Team Operations,⚪ Faible,non,oui,🔴 Red Team / Adversary Emulation (Compléments)
elastic/detection-rules,Elastic Security (Detection Rules),TRIAGE-MINIMAL,triage minimal,2695 étoiles; dernier commit 2026-08-27; licence inconnue,Detection Rules Library,🟡 Moyenne,non,oui,🔵 Defensive / Blue Team (Compléments)
splunk/security_content,Splunk Security Content,TRIAGE-MINIMAL,triage minimal,1679 étoiles; dernier commit 2026-08-26; licence Apache-2.0,Detection Rules Library,⚪ Faible,oui,oui,🔵 Defensive / Blue Team (Compléments)
osquery/osquery,Osquery,TRIAGE-MINIMAL,triage minimal,23525 étoiles; dernier commit 2026-08-25; licence Apache-2.0,Endpoint Visibility,🟡 Moyenne,oui,oui,🔵 Defensive / Blue Team (Compléments)
activecm/rita,RITA,TRIAGE-MINIMAL,triage minimal,629 étoiles; dernier commit 2026-06-17; licence GPL-3.0,Network Traffic Analysis,⚪ Faible,oui,oui,🔵 Defensive / Blue Team (Compléments)
AlienVault-OTX/OTX-Python-SDK,OTX DirectConnect,TRIAGE-MINIMAL,triage minimal,402 étoiles; inactif depuis 66 mois; licence inconnue,Threat Intelligence Feed,⚪ Faible,non,oui,🟤 Threat Intelligence (Compléments)
abusech/URLhaus,"Abuse.ch (URLhaus, MalBazaar, ThreatFox)",TRIAGE-MINIMAL,triage minimal,70 étoiles; inactif depuis 22 mois; licence inconnue,Threat Intelligence Feeds,⚪ Faible,non,oui,🟤 Threat Intelligence (Compléments)
,AI Agent Runtime Security (from topic mcp-security),N/A,non applicable,licence inconnue; repo non exploitable (hors-perimetre),AI Agent Security,⭐ Haute,non,non,🟤 Threat Intelligence (Compléments)
guardrails-ai/guardrails,Guardrails AI,TRIAGE-MINIMAL,triage minimal,7325 étoiles; dernier commit 2026-08-26; licence Apache-2.0,LLM Output Validation,🟡 Moyenne,oui,oui,🟤 Threat Intelligence (Compléments)
protectai/llm-guard,LLM Guard,TRIAGE-MINIMAL,triage minimal,3204 étoiles; dernier commit 2026-07-08; archivé; licence MIT,LLM Security,🟡 Moyenne,oui,oui,🟤 Threat Intelligence (Compléments)
protectai/rebuff,Rebuff,TRIAGE-MINIMAL,triage minimal,1521 étoiles; inactif depuis 32 mois; archivé; licence Apache-2.0,Prompt Injection Detection,⚪ Faible,oui,oui,🟤 Threat Intelligence (Compléments)
,OWASP LLM Top 10 Vulnerable App,N/A,non applicable,licence inconnue; repo non exploitable (hors-perimetre),AI Security Training,🟡 Moyenne,non,non,🟤 Threat Intelligence (Compléments)
,Dastardly (PortSwigger),N/A,non applicable,licence inconnue; repo non exploitable (hors-perimetre),DAST CI/CD,⚪ Faible,non,non,🟠 DevSecOps / CI-CD Security
Checkmarx/kics,KICS (Checkmarx),TRIAGE-MINIMAL,triage minimal,2695 étoiles; dernier commit 2026-08-25; licence Apache-2.0,IaC Security Scanner,🟡 Moyenne,oui,oui,🟠 DevSecOps / CI-CD Security
aquasecurity/tfsec,tfsec,TRIAGE-MINIMAL,triage minimal,7035 étoiles; dernier commit 2025-05-02; licence MIT,Terraform Security Scanner,⚪ Faible,oui,oui,🟠 DevSecOps / CI-CD Security
,ProjectDiscovery (Suite),N/A,non applicable,licence inconnue; repo non exploitable (organisation-pas-un-repo),Security Scanning Suite,⭐ Haute (écosystème complet),non,non,🟠 DevSecOps / CI-CD Security
shadow1ng/fscan,Fscan,TRIAGE-MINIMAL,triage minimal,14460 étoiles; dernier commit 2026-08-25; licence MIT,Internal Network Scanner,⚪ Faible,oui,oui,🟠 DevSecOps / CI-CD Security
RustScan/RustScan,RustScan,TRIAGE-MINIMAL,triage minimal,20334 étoiles; dernier commit 2026-06-10; licence GPL-3.0,Fast Port Scanner,⚪ Faible,oui,oui,🟠 DevSecOps / CI-CD Security
,Caido,N/A,non applicable,licence inconnue; repo non exploitable (organisation-pas-un-repo),Web Security Testing (Modern),🟡 Moyenne,non,non,🟠 DevSecOps / CI-CD Security
OAI/OpenAPI-Specification,OpenAPI / Swagger,TRIAGE-MINIMAL,triage minimal,31187 étoiles; dernier commit 2026-08-20; licence Apache-2.0,API Specification Standard,🟡 Moyenne (standard d'intégration),oui,oui,🟠 DevSecOps / CI-CD Security
oasis-open/cti-stix2-json-schemas,STIX/TAXII,TRIAGE-MINIMAL,triage minimal,144 étoiles; dernier commit 2026-01-19; licence BSD-3-Clause,Threat Intelligence Standards,🟡 Moyenne (standard),oui,oui,🟠 DevSecOps / CI-CD Security
,CACAO (OASIS),N/A,non applicable,licence inconnue; repo non exploitable (organisation-pas-un-repo),Security Playbook Standard,🟡 Moyenne (standard),non,non,🟠 DevSecOps / CI-CD Security
,OpenC2,N/A,non applicable,licence inconnue; repo non exploitable (organisation-pas-un-repo),Security Command Standard,⚪ Faible (standard),non,non,🟠 DevSecOps / CI-CD Security
opensearch-project/OpenSearch,Elasticsearch / OpenSearch,TRIAGE-MINIMAL,triage minimal,13586 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Search & Analytics Engine,🟡 Moyenne (infrastructure),oui,oui,🟠 DevSecOps / CI-CD Security
neo4j/neo4j,Neo4j,TRIAGE-MINIMAL,triage minimal,17147 étoiles; dernier commit 2026-08-05; licence GPL-3.0,Graph Database,⚪ Faible (infrastructure),oui,oui,🟠 DevSecOps / CI-CD Security
ClickHouse/ClickHouse,ClickHouse,TRIAGE-MINIMAL,triage minimal,49484 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Analytics Database,⚪ Faible (infrastructure),oui,oui,🟠 DevSecOps / CI-CD Security
FuzzingLabs/secpipe,SecPipe / FuzzForge AI,N/A,non applicable,licence inconnue; repo non exploitable (404-introuvable),Meta-MCP (offensif),⭐ Haute (conceptuellement la chose la plus proche de notre cible),non,non,🔴 Offensive / Pentesting
securityfortech/secops-mcp,secops-mcp,TRIAGE-MINIMAL,triage minimal,207 étoiles; dernier commit 2025-09-17; licence MIT,MCP collection (offensif + pentest),🟡 Moyenne,oui,oui,🔴 Offensive / Pentesting
j3ssie/osmedeus,Osmedeus,TRIAGE-HAUTE,triage obligatoire,6539 étoiles; dernier commit 2026-08-08; licence MIT,Orchestrateur offensif (workflow engine),⭐ Haute,oui,oui,🔴 Offensive / Pentesting
six2dez/reconftw,reconFTW,TRIAGE-MINIMAL,triage minimal,8027 étoiles; dernier commit 2026-06-29; licence MIT,Pipeline offensif (recon),🟡 Moyenne,oui,oui,🔴 Offensive / Pentesting
AutoRecon/AutoRecon,AutoRecon,TRIAGE-MINIMAL,triage minimal,6093 étoiles; dernier commit 2025-11-16; licence GPL-3.0,Orchestrateur recon (par service),🟡 Moyenne,oui,oui,🔴 Offensive / Pentesting
pry0cc/axiom,axiom,TRIAGE-MINIMAL,triage minimal,4415 étoiles; inactif depuis 23 mois; licence MIT,Infrastructure distribuée offensive,🟡 Moyenne,oui,oui,🔴 Offensive / Pentesting
GH05TCREW/MetasploitMCP,MetasploitMCP / wrappers MCP unitaires,TRIAGE-MINIMAL,triage minimal,719 étoiles; dernier commit 2026-02-05; licence Apache-2.0,MCP servers individuels (offensif),"🟡 Moyenne (individuellement simples, collectivement le catalogue à indexer)",oui,oui,🔴 Offensive / Pentesting
apache/caldera,MITRE Caldera (apache/caldera),TRIAGE-HAUTE,triage obligatoire,7215 étoiles; dernier commit 2026-08-27; licence Apache-2.0,Adversary emulation orchestration,⭐ Haute,oui,oui,🔴 Offensive / Pentesting
infosecn1nja/Red-Teaming-Toolkit,Red-Teaming-Toolkit / Awesome-Red-Teaming (listes),TRIAGE-MINIMAL,triage minimal,10656 étoiles; dernier commit 2026-05-07; licence GPL-3.0,Listes curated offensives,⚪ Faible,oui,oui,🔴 Offensive / Pentesting
aliasrobotics/cai,CAI (Cybersecurity AI),SHORTLIST,analyse approfondie,9808 étoiles; dernier commit 2026-08-22; archivé; licence MIT,AI Agent Framework (offensif+défensif),⭐ Haute (patterns + garde-fous uniques),oui,oui,🟢 AI Security Agents
PurpleAILAB/Decepticon,Decepticon,SHORTLIST,analyse approfondie,5343 étoiles; dernier commit 2026-08-26; licence Apache-2.0,AI Red Team Agent (multi-agents),⭐ Haute,oui,oui,🟢 AI Security Agents
bugbasesecurity/pentest-copilot,Pentest Copilot,TRIAGE-HAUTE,triage obligatoire,1329 étoiles; dernier commit 2026-08-14; licence MIT,AI Pentest Agent (browser),⭐ Haute (capability registry = pattern clé pour nous),oui,oui,🟢 AI Security Agents
Vasco0x4/AIDA,AIDA,TRIAGE-MINIMAL,triage minimal,480 étoiles; dernier commit 2026-07-19; licence AGPL-3.0,AI Pentest Platform (MCP-driven),🟡 Moyenne,oui,oui,🟢 AI Security Agents
ASCIT31/Dark-Moon,Dark-Moon (Darkmoon),TRIAGE-MINIMAL,triage minimal,875 étoiles; dernier commit 2026-08-25; licence GPL-3.0,AI Pentest Platform,🟡 Moyenne,oui,oui,🟢 AI Security Agents
Stanford-Trinity/ARTEMIS,ARTEMIS (Stanford Trinity),TRIAGE-MINIMAL,triage minimal,535 étoiles; dernier commit 2026-01-01; licence Apache-2.0,AI Vulnerability Discovery Agent,🟡 Moyenne,oui,oui,🟢 AI Security Agents
ipa-lab/hackingBuddyGPT,hackingBuddyGPT,TRIAGE-MINIMAL,triage minimal,1224 étoiles; dernier commit 2026-08-21; licence MIT,AI Agent Framework (académique),🟡 Moyenne,oui,oui,🟢 AI Security Agents
berylliumsec/nebula,Nebula,TRIAGE-MINIMAL,triage minimal,1093 étoiles; dernier commit 2026-08-27; licence BSD-2-Clause,AI Pentest Assistant,⚪ Faible,oui,oui,🟢 AI Security Agents
NoDataFound/hackGPT,hackGPT,TRIAGE-MINIMAL,triage minimal,1202 étoiles; dernier commit 2026-08-12; licence inconnue,AI Offensive Toolkit,⚪ Faible,non,oui,🟢 AI Security Agents
,Autres agents IA identifiés (2e cercle),N/A,non applicable,licence inconnue; repo non exploitable (hors-perimetre),AI Pentest Agents (divers),⚪ Faible à 🟡 (à revérifier en Phase 2),non,non,🟢 AI Security Agents
Vigil-SOC/vigil,Vigil (Vigil-SOC),TRIAGE-HAUTE,triage obligatoire,264 étoiles; dernier commit 2026-08-27; licence inconnue,AI SOC / Agentic SOC,⭐ Haute,non,oui,🔵 Defensive / Blue Team
ugurrates/Blue-Team-Assistant,CABTA (Blue Team Assistant),TRIAGE-MINIMAL,triage minimal,76 étoiles; dernier commit 2026-07-27; licence MIT,AI SOC Assistant + MCP servers,🟡 Moyenne,oui,oui,🔵 Defensive / Blue Team
mukul975/cve-mcp-server,CVE MCP Server,TRIAGE-HAUTE,triage obligatoire,1167 étoiles; dernier commit 2026-06-22; licence Apache-2.0,MCP aggregator (threat intel/vuln intel),⭐ Haute,oui,oui,🔵 Defensive / Blue Team
not2cleverdotme/blue-team-mcp,blue-team-mcp,TRIAGE-MINIMAL,triage minimal,dernier commit 2026-03-15; licence MIT,MCP server défensif,⚪ Faible,oui,oui,🔵 Defensive / Blue Team
deadbits/vigil-llm,Vigil-LLM (homonyme à ne pas confondre),TRIAGE-MINIMAL,triage minimal,496 étoiles; inactif depuis 31 mois; licence Apache-2.0,LLM security scanner,⚪ Faible (pour platform) / 🟡 (si on veut sécuriser nos agents),oui,oui,🔵 Defensive / Blue Team
metatool-ai/metamcp,MetaMCP,IGNORE,écarté,2630 étoiles; dernier commit 2026-06-22; licence MIT,MCP Aggregator/Gateway/Middleware,⭐ Haute,oui,oui,🟣 MCP / Tool Aggregation
samanhappy/mcphub,MCPHub,TRIAGE-MINIMAL,triage minimal,2337 étoiles; dernier commit 2026-08-26; licence Apache-2.0,MCP Hub,🟡 Moyenne,oui,oui,🟣 MCP / Tool Aggregation
mcpjungle/MCPJungle,MCPJungle,SHORTLIST,analyse approfondie,1230 étoiles; dernier commit 2026-08-02; licence MPL-2.0,MCP Gateway + Registry,🟡 Moyenne,oui,oui,🟣 MCP / Tool Aggregation
wojtyniak/mcp-mcp,mcp-mcp (wojtyniak),TRIAGE-MINIMAL,triage minimal,23 étoiles; dernier commit 2026-06-26; licence MIT,Meta-MCP (découverte),"🟡 Moyenne (pattern ""catalogue agrégé de catalogues"")",oui,oui,🟣 MCP / Tool Aggregation
pathintegral-institute/mcpm.sh,mcpm.sh,TRIAGE-MINIMAL,triage minimal,992 étoiles; dernier commit 2026-05-22; licence MIT,MCP Package Manager + Registry + Router,🟡 Moyenne,oui,oui,🟣 MCP / Tool Aggregation
open-webui/mcpo,mcpo,TRIAGE-MINIMAL,triage minimal,4357 étoiles; dernier commit 2026-02-27; licence MIT,MCP → OpenAPI Proxy,🟡 Moyenne,oui,oui,🟣 MCP / Tool Aggregation
AgentSeal/awesome-mcp-security,Security-scored MCP lists,TRIAGE-HAUTE,triage obligatoire,28 étoiles; dernier commit 2026-03-14; licence inconnue,MCP registries avec scoring sécurité,⭐ Haute (métadonnées de risque prêtes à indexer pour un registry),non,oui,🟣 MCP / Tool Aggregation
,MCP servers sécurité divers (petits),N/A,non applicable,licence inconnue; repo non exploitable (hors-perimetre),MCP servers (unitaires/petites collections),⚪ Faible individuellement,non,non,🟣 MCP / Tool Aggregation
modelcontextprotocol/registry,Official MCP Registry,SHORTLIST,analyse approfondie,7194 étoiles; dernier commit 2026-08-20; licence inconnue,MCP Registry (officiel),⭐ Haute,non,oui,🟣 MCP / Tool Aggregation
maximhq/bifrost,Bifrost (Maxim),TRIAGE-MINIMAL,triage minimal,7599 étoiles; dernier commit 2026-08-27; licence Apache-2.0,LLM + MCP Gateway,🟡 Moyenne,oui,oui,🟣 MCP / Tool Aggregation
obot-platform/obot,Obot,TRIAGE-MINIMAL,triage minimal,962 étoiles; dernier commit 2026-08-27; licence MIT,AI Governance Platform / MCP catalog,🟡 Moyenne,oui,oui,🟣 MCP / Tool Aggregation
datacline/secure-mcp-gateway,Other gateways (contexte),TRIAGE-MINIMAL,triage minimal,32 étoiles; dernier commit 2026-05-13; licence MIT,MCP/LLM Gateways (divers),⚪ Faible (couche gateway = commodité),oui,oui,🟣 MCP / Tool Aggregation
lockfale/OSINT-Framework,OSINT-Framework / autres listes OSINT,TRIAGE-MINIMAL,triage minimal,12016 étoiles; dernier commit 2026-04-03; licence MIT,Curated lists OSINT,🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
kpcyrd/sn0int,sn0int,TRIAGE-MINIMAL,triage minimal,2516 étoiles; inactif depuis 19 mois; licence GPL-3.0,OSINT Framework (sandboxé),🟡 Moyenne,oui,oui,🟤 Threat Intelligence / OSINT
4ndersonLin/awesome-cloud-security,Nuages : à compléter au propre,TRIAGE-MINIMAL,triage minimal,2483 étoiles; dernier commit 2026-03-17; licence inconnue,Cloud security tooling,🟡 Moyenne (listes) — les hubs MCP (mcp-security-hub) wrappe déjà des images trivy/prowler.,non,oui,🟤 Threat Intelligence / OSINT
meirwah/awesome-incident-response,meirwah/awesome-incident-response,TRIAGE-MINIMAL,triage minimal,9353 étoiles; dernier commit 2026-07-15; licence Apache-2.0,Curated list DFIR/IR,⚪ Faible,oui,oui,🟤 Threat Intelligence / OSINT
,(croisé avec 🔵🟠🟡),N/A,non applicable,licence inconnue; repo non exploitable (hors-perimetre),Web platforms / dashboards,🟡 Moyenne (gap confirmé),non,non,🟤 Threat Intelligence / OSINT
mthcht/awesome-lists,Méta-listes et index majeurs,TRIAGE-MINIMAL,triage minimal,1892 étoiles; dernier commit 2026-08-27; licence MIT,Curated lists / meta-lists,il fournit la structure nécessaire pour représenter une chaîne d’attaque plutôt qu’un finding isolé.,oui,oui,🟤 Threat Intelligence / OSINT
